,time,bottom_hardness,bottom_roughness,wave_depth,depth,nasc0,fish_depth0,nasc1,fish_depth1,nasc2,fish_depth2,nasc3,fish_depth3
0,2025-10-23 00:21:14,-10.62,0.5,2.03,45.33,204.04,23.23,202.38,23.23,1.66,42.33,0.0,0.0
1,2025-10-23 00:21:16,-15.04,0.5,2.03,45.33,24.58,15.83,15.98,3.43,8.6,40.03,0.0,0.0
2,2025-10-23 00:21:18,-5.65,0.5,2.03,45.33,12.61,27.33,9.94,23.83,2.66,40.23,0.0,0.0
3,2025-10-23 00:21:20,-10.06,0.5,2.03,45.23,78.83,22.23,77.58,22.23,1.25,41.93,0.0,0.0
4,2025-10-23 00:21:22,-9.1,0.5,2.03,45.23,81.22,4.63,77.17,4.63,4.04,40.43,0.0,0.0
5,2025-10-23 00:21:24,-12.77,0.5,2.03,45.23,71.47,12.93,68.1,12.93,3.37,39.33,0.0,0.0
6,2025-10-23 00:21:26,-9.17,0.5,2.03,45.23,31.72,35.23,15.88,10.43,15.84,38.63,0.0,0.0
7,2025-10-23 00:21:28,-8.25,0.5,2.03,45.23,15.9,27.73,10.26,15.93,5.64,41.53,0.0,0.0
8,2025-10-23 00:21:30,-6.51,0.5,3.13,45.23,16.04,27.43,13.93,26.73,2.1,41.03,0.0,0.0
9,2025-10-23 00:21:32,-2.51,0.5,2.93,45.23,56.8,11.33,48.76,11.33,8.04,42.03,0.0,0.0
10,2025-10-23 00:21:34,-11.84,0.5,2.73,45.33,14.87,13.73,12.62,13.73,2.25,42.23,0.0,0.0
11,2025-10-23 00:21:36,-8.25,0.5,2.33,45.23,105.73,35.83,6.58,17.53,99.15,35.83,0.0,0.0
12,2025-10-23 00:21:38,-1.97,0.5,2.03,45.23,154.4,36.03,16.46,25.93,137.94,36.03,0.0,0.0
13,2025-10-23 00:21:40,-6.77,0.5,2.03,45.33,34.52,27.63,24.53,20.23,9.98,35.93,0.0,0.0
14,2025-10-23 00:21:42,-7.29,0.5,2.03,45.23,106.83,22.63,97.75,22.63,9.08,40.73,0.0,0.0
15,2025-10-23 00:21:44,0.06,0.5,2.53,45.23,64.6,19.73,61.79,19.73,2.81,39.73,0.0,0.0
16,2025-10-23 00:21:46,-10.18,0.5,2.03,45.33,80.8,20.13,76.93,20.13,3.87,35.63,0.0,0.0
17,2025-10-23 00:21:48,-6.67,0.5,2.03,45.23,18.18,22.13,16.19,22.13,2.0,40.23,0.0,0.0
18,2025-10-23 00:21:50,-8.4,0.5,2.03,45.23,117.25,22.93,115.04,22.93,2.21,40.53,0.0,0.0
19,2025-10-23 00:21:52,-7.0,0.5,2.93,45.33,42.79,34.03,41.36,34.03,1.43,41.93,0.0,0.0
20,2025-10-23 00:21:54,-9.13,0.5,3.93,45.23,156.01,31.03,152.5,31.03,3.52,43.73,0.0,0.0
21,2025-10-23 00:21:56,-8.34,0.5,2.03,45.33,40.58,31.03,32.63,30.63,7.95,40.73,0.0,0.0
22,2025-10-23 00:21:58,-6.11,0.5,2.03,45.33,58.66,30.73,56.7,30.73,1.96,41.63,0.0,0.0
23,2025-10-23 00:22:00,-9.0,0.5,2.43,45.33,37.04,31.33,23.69,8.63,13.35,43.33,0.0,0.0
24,2025-10-23 00:22:02,-8.17,0.5,2.03,45.23,52.05,43.13,13.16,15.63,38.89,44.43,0.0,0.0
25,2025-10-23 00:22:04,-7.26,0.5,2.23,45.33,28.42,28.83,24.27,20.83,4.16,43.53,0.0,0.0
26,2025-10-23 00:22:06,-12.57,0.5,2.63,45.23,235.9,31.73,234.47,31.73,1.43,40.83,0.0,0.0
27,2025-10-23 00:22:08,-3.02,0.5,2.03,45.33,494.64,31.03,491.35,31.03,3.29,42.93,0.0,0.0
28,2025-10-23 00:22:10,-9.89,0.5,2.03,45.33,19.86,22.53,14.78,19.93,5.08,36.93,0.0,0.0
29,2025-10-23 00:22:12,-12.55,0.5,2.03,45.33,65.71,25.33,61.83,25.33,3.88,43.43,0.0,0.0
30,2025-10-23 00:22:14,-10.84,0.5,2.03,45.33,12.3,22.83,11.71,21.53,0.58,41.13,0.0,0.0
31,2025-10-23 00:22:16,-11.03,0.5,2.03,45.33,11.44,24.63,8.69,19.23,2.75,39.73,0.0,0.0
32,2025-10-23 00:22:18,-8.23,0.5,3.03,45.23,23.21,25.43,21.18,19.23,2.02,39.33,0.0,0.0
33,2025-10-23 00:22:20,-9.61,0.5,2.53,45.23,14.36,26.43,10.17,19.83,4.2,43.63,0.0,0.0
34,2025-10-23 00:22:22,-11.84,0.5,2.43,45.23,99.42,6.93,92.54,6.93,6.88,41.53,0.0,0.0
35,2025-10-23 00:22:24,-9.33,0.5,2.03,45.23,23.43,17.03,18.84,14.33,4.59,40.43,0.0,0.0
36,2025-10-23 00:22:26,-5.48,0.5,3.23,45.23,26.65,22.03,20.34,16.03,6.31,41.03,0.0,0.0
37,2025-10-23 00:22:28,-7.08,0.5,4.33,45.23,22.79,33.63,13.66,21.13,9.12,38.73,0.0,0.0
38,2025-10-23 00:22:30,-8.06,0.5,2.03,45.23,46.31,21.13,44.96,21.13,1.35,40.53,0.0,0.0
39,2025-10-23 00:22:32,-9.0,0.5,2.03,45.23,63.41,39.93,15.97,15.13,47.44,39.93,0.0,0.0
40,2025-10-23 00:22:34,-10.57,0.5,2.03,45.23,12.95,17.83,10.43,17.03,2.52,41.73,0.0,0.0
41,2025-10-23 00:22:36,-13.78,0.5,2.03,45.23,57.76,21.03,56.65,21.03,1.11,40.83,0.0,0.0
42,2025-10-23 00:22:38,-7.3,0.5,2.03,45.23,16.13,40.03,7.65,18.93,8.47,40.13,0.0,0.0
43,2025-10-23 00:22:40,-4.26,0.5,2.03,45.23,113.92,25.13,112.84,25.13,1.07,40.43,0.0,0.0
44,2025-10-23 00:22:42,-5.24,0.5,2.03,45.23,58.82,24.13,42.0,24.13,16.83,37.53,0.0,0.0
45,2025-10-23 00:22:44,-12.94,0.5,2.03,45.23,145.62,42.43,59.95,31.83,85.67,42.43,0.0,0.0
46,2025-10-23 00:22:46,-9.64,0.5,2.03,45.23,2037.93,31.13,2036.96,31.13,0.97,38.73,0.0,0.0
47,2025-10-23 00:22:48,-9.9,0.5,2.03,45.33,90.76,32.43,88.98,32.43,1.77,38.33,0.0,0.0
48,2025-10-23 00:22:50,-0.6,0.5,2.03,45.33,49.94,19.53,46.78,19.53,3.16,38.33,0.0,0.0
49,2025-10-23 00:22:52,-7.69,0.5,4.03,45.33,214.04,22.23,209.98,22.23,4.06,42.23,0.0,0.0
50,2025-10-23 00:22:54,-5.82,0.5,2.83,45.33,27.99,18.23,20.74,13.43,7.25,37.93,0.0,0.0
51,2025-10-23 00:22:56,-18.87,0.5,2.23,45.33,76.8,32.73,75.46,32.73,1.35,39.63,0.0,0.0
52,2025-10-23 00:22:58,-10.68,0.5,2.43,45.33,40.38,18.53,38.48,18.33,1.89,43.53,0.0,0.0
53,2025-10-23 00:23:00,-9.07,0.5,2.03,45.33,97.59,13.03,88.66,13.03,8.93,41.03,0.0,0.0
54,2025-10-23 00:23:02,-9.83,0.5,2.03,45.33,24.3,18.53,20.88,18.53,3.42,42.03,0.0,0.0
55,2025-10-23 00:23:04,-5.21,0.5,2.53,45.33,37.9,38.33,10.33,14.73,27.57,42.33,0.0,0.0
56,2025-10-23 00:23:06,-2.33,0.5,2.03,45.33,30.55,32.13,18.27,23.33,12.28,38.33,0.0,0.0
57,2025-10-23 00:23:08,-6.07,0.5,2.03,45.33,29.31,20.33,26.28,17.93,3.03,36.63,0.0,0.0
58,2025-10-23 00:23:10,-9.83,0.5,2.03,45.33,223.36,25.23,220.09,25.23,3.26,36.53,0.0,0.0
59,2025-10-23 00:23:12,-5.86,0.5,2.03,45.33,39.43,31.73,36.27,26.13,3.16,36.73,0.0,0.0
60,2025-10-23 00:23:14,-2.83,0.5,2.03,45.33,59.03,23.83,43.32,11.23,15.71,36.43,0.0,0.0
